GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Symbols
GO:0032555	1.04526614884253e-08	2.26817346907008	34.4747743426503	70	1730	purine ribonucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Atp9b;Gucy1b3;Stk19;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Mcm9;Tmem173;Pik3r4;Ddx50
GO:1901363	1.23669956037071e-08	1.7857440125638	104.639907556796	157	5251	heterocyclic compound binding	Tra2a;Sf3b3;Csnk1d;Cdk20;Lars;Rrp12;Cth;Ddb2;Prkag2;Mmaa;Acadl;Cygb;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bcl6b;Mrps6;Prdm1;Bmpr1b;Btk;Entpd1;Clk1;Crem;Cry1;Cry2;Dnm1;Eef2k;Epas1;Erf;Etv6;Acsl1;Fes;Fkbp5;Foxf2;Fli1;Fosb;Gclc;Hey2;Hic1;Hk1;Htr1b;Lmo4;Mycl;Mfn2;Lyl1;Mertk;Msh2;Nfya;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Prim1;Hexim1;Rps12;Sept8;Clpb;Sox18;Sox3;Exog;Hdac4;Suclg2;Zfp710;Mtrr;Satb2;Fam46a;Tbx3;Hkdc1;Ube2d1;Gemin5;Tek;Ccar2;Usp10;Ulk1;Vrk1;Pi4ka;Xbp1;Tfb1m;Pik3c3;Npas4;Ercc5;Twnk;Map3k19;Ywhag;Zfp46;Dnajc2;Tlk1;Ncoa5;Ak5;Nupl2;Gak;Fuk;Usp3;Zfp366;Homez;Katna1;Adnp2;Sept3;Bbs12;Zfp668;Map2k1;Orc5;Slc27a3;Phf12;Gphn;Atp13a5;Pask;Clspn;Eif4e2;Rab6b;Nbn;Srr;Hist4h4;Slfn5;Rab26;Fbrsl1;Nova2;Zhx2;Txnrd1;Ttpa;Atp9b;Banp;Gpatch11;Gucy1b3;Stk19;Aldh1a3;Ehd3;Suv39h2;Hmg20a;Rabl3;Tyw5;Acss1;Rhobtb1;Rhou;Trim32;Vrk2;Gtf3c5;Iyd;Mcm9;Cdc40;Dhx35;Usp36;Tmem173;Wdr43;Zbtb8a;Parn;Wdr33;Pik3r4;Eif4b;Prdm8;Sp2;Ddx50
GO:0017076	1.3493520481858e-08	2.25205164247375	34.693978110147	70	1741	purine nucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Mmaa;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Sept8;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Atp9b;Gucy1b3;Stk19;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Mcm9;Tmem173;Pik3r4;Ddx50
GO:0005524	5.27385399099453e-08	2.33919018077513	27.3606157066236	58	1373	ATP binding	Csnk1d;Cdk20;Lars;Prkag2;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Srr;Slfn5;Atp9b;Stk19;Ehd3;Acss1;Vrk2;Mcm9;Pik3r4;Ddx50
GO:0032559	5.83715823835803e-08	2.31433776420907	28.1377927004753	59	1412	adenyl ribonucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Srr;Slfn5;Atp9b;Stk19;Ehd3;Acss1;Vrk2;Mcm9;Tmem173;Pik3r4;Ddx50
GO:0036094	7.11816615037768e-08	2.02289453544285	45.9331530981555	83	2305	small molecule binding	Csnk1d;Cdk20;Lars;Cth;Prkag2;Mmaa;Acadl;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Cry1;Cry2;Dnm1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mfn2;Mertk;Msh2;Nos3;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Rpia;Sept8;Clpb;Suclg2;Mtrr;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Sept3;Bbs12;Map2k1;Orc5;Slc27a3;Gphn;Atp13a5;Pask;Rab6b;Srr;Slfn5;Rab26;Txnrd1;Ttpa;Atp9b;Gucy1b3;Stk19;Aldh1a3;Ehd3;Rabl3;Acss1;Rhobtb1;Rhou;Vrk2;Iyd;Mcm9;Osbpl3;Tmem173;Pik3r4;Ddx50
GO:0030554	7.27165405034365e-08	2.29806521594758	28.317141237518	59	1421	adenyl nucleotide binding	Csnk1d;Cdk20;Lars;Prkag2;Adcy8;Ak4;Alpk3;Helb;Atp10a;Bmpr1b;Btk;Entpd1;Clk1;Eef2k;Acsl1;Fes;Gclc;Hk1;Mertk;Msh2;Nsf;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Clpb;Suclg2;Hkdc1;Ube2d1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Twnk;Map3k19;Tlk1;Ak5;Gak;Fuk;Katna1;Bbs12;Map2k1;Orc5;Gphn;Atp13a5;Pask;Srr;Slfn5;Atp9b;Stk19;Ehd3;Acss1;Vrk2;Mcm9;Tmem173;Pik3r4;Ddx50
GO:0003824	6.32707629184981e-07	1.64689008010308	113.587406793703	160	5700	catalytic activity	Rnaset2a;Eogt;Rdh9;Csnk1d;Cdk20;Ppp1r3e;Lars;Dio3;Cth;Ddb2;Prkag2;Ciapin1;Mmaa;Acadl;Cygb;Adcy8;Ak4;Alox8;Alpk3;Helb;Atg5;Atp6v0a1;Atp10a;Prdm1;Bmpr1b;Btk;Casp7;Casp8;Ccnf;Entpd1;Clk1;Dio2;Dnm1;Dpp6;Eef2k;Egf;Acsl1;Fes;Fkbp5;Gfpt2;Gclc;H13;Hk1;Idua;Lss;Mfn2;Mtmr4;Mertk;Mgat3;Mmp14;Msh2;COX2;COX3;ND3;Nnmt;Nos3;Nsf;Pcsk2;Pde9a;Abcb1b;Pim1;Pim2;Pip5k1c;Prkch;Plat;Ppm1a;Prep;Prim1;Hs3st2;Rpia;Clpb;Exog;Hdac4;Suclg2;Mtrr;Hkdc1;Ube2d1;Usp22;Tek;Engase;Gcnt4;Traip;Usp10;Ulk1;Upp1;Vhl;Vrk1;Pi4ka;Tfb1m;Pik3c3;Ercc5;Twnk;Map3k19;Kansl3;B3gnt7;Tlk1;Pigu;Ak5;Gak;Dera;Klhl26;Colgalt1;Fuk;Usp3;Katna1;Usp18;Rhbdl3;Fto;Map2k1;Slc27a3;Gphn;Atp13a5;Pask;Rab6b;Nbn;Pald1;Srr;Agpat3;Rab26;Pon2;Far2;Txnrd1;Atp9b;Usp2;Gucy1b3;Stk19;St3gal6;Mgst1;Med20;Aldh1a3;Ccdc126;Nrip2;Suv39h2;Pgm1;Atg12;Ppm1f;Tyw5;Acss1;Anapc10;Rhobtb1;Rhou;Trim32;Vrk2;Iyd;Dusp16;Noxred1;Afmid;Mcm9;Senp8;Dhx35;Rnf135;Adpgk;Usp36;Parn;Selenon;Pik3r4;Usp42;Prdm8;Trim6;Ddx50
GO:0016301	1.26060227879343e-05	2.39100555280664	15.2446256486286	34	765	kinase activity	Csnk1d;Cdk20;Prkag2;Ak4;Alpk3;Bmpr1b;Btk;Clk1;Eef2k;Egf;Fes;Hk1;Mertk;Pim1;Pim2;Pip5k1c;Prkch;Hkdc1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Map3k19;Tlk1;Ak5;Gak;Fuk;Map2k1;Pask;Stk19;Vrk2;Adpgk;Pik3r4
GO:0016773	1.3832480285736e-05	2.45054258121159	13.9891858893298	32	702	phosphotransferase activity, alcohol group as acceptor	Csnk1d;Cdk20;Prkag2;Alpk3;Bmpr1b;Btk;Clk1;Eef2k;Egf;Fes;Hk1;Mertk;Pim1;Pim2;Pip5k1c;Prkch;Hkdc1;Tek;Ulk1;Vrk1;Pi4ka;Pik3c3;Map3k19;Tlk1;Gak;Fuk;Map2k1;Pask;Stk19;Vrk2;Adpgk;Pik3r4
GO:0140096	2.87067225573905e-05	1.76615016130609	43.6614049622814	71	2191	catalytic activity, acting on a protein	Eogt;Csnk1d;Cdk20;Ppp1r3e;Ddb2;Prkag2;Alpk3;Bmpr1b;Btk;Casp7;Casp8;Ccnf;Clk1;Dpp6;Eef2k;Egf;Fes;Fkbp5;H13;Hk1;Mtmr4;Mertk;Mmp14;Pcsk2;Pim1;Pim2;Prkch;Plat;Ppm1a;Prep;Hdac4;Ube2d1;Usp22;Tek;Gcnt4;Traip;Usp10;Ulk1;Vhl;Vrk1;Pik3c3;Map3k19;Tlk1;Pigu;Gak;Klhl26;Colgalt1;Usp3;Katna1;Usp18;Rhbdl3;Map2k1;Pask;Pald1;Usp2;Stk19;Med20;Ccdc126;Nrip2;Suv39h2;Ppm1f;Anapc10;Trim32;Vrk2;Senp8;Rnf135;Usp36;Pik3r4;Usp42;Prdm8;Trim6
